symbol,trade_id,entry_time,exit_time,duration_days,entry_price,exit_price,stop_loss,sl_distance_pct,atr_at_entry,direction,exit_reason,gross_return_pct,net_return_pct,is_win,m_ready,m_direction,m_compressed,m_mba_low,m_mba_high,m_continuity,w_ready,w_direction,w_compressed,w_mba_low,w_mba_high,w_continuity,d_ready,d_direction,d_compressed,d_mba_low,d_mba_high,d_continuity,alignment_summary,equity_before,equity_after,btc_regime
STRAX,8,2025-04-10,2025-04-11,1,0.04096,0.04084,0.02690071,34.32,0.00468643,bullish,direction_flip,-0.293,-0.493,False,False,bullish,True,0.034,0.053,1,True,bullish,True,0.0335,0.044,1,True,bullish,True,0.0385,0.0408,2,[V3:breakout_ready] READY (BULLISH),0.850162,0.845971,
NEXO,4,2025-04-15,2025-04-16,1,1.007,1.019,0.77321429,23.22,0.07792857,bullish,direction_flip,1.1917,0.9917,True,False,bullish,True,0.9,1.25,1,True,bullish,True,0.95,1.04,1,True,bullish,True,1.002,1.06,2,[V3:breakout_ready] READY (BULLISH),0.904128,0.913094,
SKL,3,2025-04-18,2025-04-19,1,0.01971,0.02054,0.01473,25.27,0.00166,bullish,direction_flip,4.2111,4.0111,True,False,bullish,True,0.0175,0.0345,1,True,bullish,True,0.018,0.02,1,True,bullish,True,0.01875,0.01955,1,[V3:breakout_ready] READY (BULLISH),0.454458,0.472687,
STORJ,6,2025-04-19,2025-04-20,1,0.3066,0.2987,0.23352857,23.83,0.02435714,bullish,direction_flip,-2.5766,-2.7766,False,False,bullish,True,0.22,0.35,1,True,bullish,True,0.26,0.295,1,True,bullish,True,0.28,0.315,1,[V3:breakout_ready] READY (BULLISH),0.313417,0.304715,
STORJ,7,2025-04-21,2025-04-22,1,0.2936,0.3139,0.23019286,21.6,0.02113571,bullish,direction_flip,6.9142,6.7142,True,False,bullish,True,0.22,0.35,1,True,bullish,True,0.26,0.295,1,True,bullish,True,0.28,0.315,1,[V3:breakout_ready] READY (BULLISH),0.304715,0.325174,
BEAMX,3,2025-04-22,2025-04-23,1,0.0068,0.00707,0.00515857,24.14,0.00054714,bullish,direction_flip,3.9706,3.7706,True,False,bullish,True,0.0047,0.0103,1,True,bullish,True,0.00545,0.0066,2,True,bullish,True,0.00625,0.0068,1,[V3:breakout_ready] READY (BULLISH),1.089543,1.130625,
NEXO,5,2025-04-24,2025-04-25,1,1.121,1.121,0.9755,12.98,0.0485,bullish,direction_flip,0.0,-0.2,False,False,bullish,True,0.9,1.25,1,True,bullish,True,0.995,1.068,2,True,bullish,True,1.035,1.085,1,[V3:breakout_ready] READY (BULLISH),0.913094,0.911268,
MLN,10,2025-04-26,2025-04-27,1,9.55,9.08,7.49071429,21.56,0.68642857,bullish,direction_flip,-4.9215,-5.1215,False,False,bullish,True,8.0,16.0,1,True,bullish,True,8.0,9.2,2,True,bullish,True,9.2,9.75,1,[V3:breakout_ready] READY (BULLISH),0.842177,0.799045,
STORJ,8,2025-04-26,2025-04-27,1,0.3352,0.3097,0.27464286,18.07,0.02018571,bullish,direction_flip,-7.6074,-7.8074,False,False,bullish,True,0.22,0.35,1,True,bullish,True,0.285,0.348,1,True,bullish,True,0.3075,0.3195,1,[V3:breakout_ready] READY (BULLISH),0.325174,0.299786,
MLN,11,2025-04-28,2025-04-29,1,9.3,8.98,7.07142857,23.96,0.74285714,bullish,direction_flip,-3.4409,-3.6409,False,False,bullish,True,8.0,16.0,1,True,bullish,True,8.0,9.2,2,True,bullish,True,9.2,9.75,1,[V3:breakout_ready] READY (BULLISH),0.799045,0.769953,
STORJ,9,2025-04-28,2025-04-29,1,0.3134,0.3096,0.25067857,20.01,0.02090714,bullish,direction_flip,-1.2125,-1.4125,False,False,bullish,True,0.22,0.35,1,True,bullish,True,0.285,0.348,1,True,bullish,True,0.3075,0.3195,1,[V3:breakout_ready] READY (BULLISH),0.299786,0.295552,
HIVE,8,2025-04-29,2025-04-30,1,0.2557,0.2521,0.21295,16.72,0.01425,bullish,direction_flip,-1.4079,-1.6079,False,False,bullish,True,0.18,0.3,2,True,bullish,True,0.239,0.25,1,True,bullish,True,0.2445,0.259,1,[V3:breakout_ready] READY (BULLISH),1.180196,1.161219,
JASMY,4,2025-04-29,2025-05-27,28,0.01656,0.01759,0.01158214,30.06,0.00165929,bullish,direction_flip,6.2198,6.0198,True,False,bullish,True,0.008,0.019,1,True,bullish,True,0.012,0.0192,2,True,bullish,True,0.0159,0.0176,1,[V3:breakout_ready] READY (BULLISH),1.188433,1.259975,
LDO,6,2025-05-01,2025-08-26,117,0.858,1.3065,0.70028571,18.38,0.05257143,bullish,direction_flip,52.2727,52.0727,True,False,bullish,True,0.61,0.9,1,True,bullish,True,0.72,0.85,1,True,bullish,True,0.79,0.85,1,[V3:breakout_ready] READY (BULLISH),1.074096,1.633407,
HIVE,9,2025-05-03,2025-05-04,1,0.2609,0.243,0.21532143,17.47,0.01519286,bullish,direction_flip,-6.8609,-7.0609,False,False,bullish,True,0.18,0.3,2,True,bullish,True,0.247,0.263,1,True,bullish,True,0.249,0.2553,2,[V3:breakout_ready] READY (BULLISH),1.161219,1.079227,
ADX,5,2025-05-04,2025-08-26,114,0.0972,0.1371,0.07872857,19.0,0.00615714,bullish,direction_flip,41.0494,40.8494,True,False,bullish,True,0.072,0.115,1,True,bullish,True,0.096,0.101,2,True,bullish,True,0.0965,0.098,1,[V3:breakout_ready] READY (BULLISH),0.703826,0.991334,
CVX,6,2025-05-07,2025-05-27,20,3.076,3.328,2.30435714,25.09,0.25721429,bullish,direction_flip,8.1925,7.9925,True,True,bullish,True,1.5,3.35,1,True,bullish,True,2.55,3.35,1,True,bullish,True,2.75,2.98,1,[V3:balance_aligned] READY (BULLISH),0.880585,0.950965,
DASH,3,2025-05-08,2025-11-25,201,23.2,57.31,19.04071429,17.93,1.38642857,bullish,direction_flip,147.0259,146.8259,True,True,bullish,True,17.8,25.0,1,True,bullish,True,22.2,24.0,1,True,bullish,True,20.65,21.7,1,[V3:balance_aligned] READY (BULLISH),0.586368,1.447309,
HIVE,10,2025-05-08,2025-05-09,1,0.252,0.2632,0.20267143,19.57,0.01644286,bullish,direction_flip,4.4444,4.2444,True,False,bullish,True,0.18,0.3,2,True,bullish,True,0.247,0.263,1,True,bullish,True,0.2305,0.2395,2,[V3:breakout_ready] READY (BULLISH),1.079227,1.125034,
JOE,3,2025-05-08,2025-05-27,19,0.1977,0.1961,0.16005,19.04,0.01255,bullish,direction_flip,-0.8093,-1.0093,False,False,bullish,False,0.128,0.212,2,True,bullish,True,0.183,0.193,1,True,bullish,True,0.1675,0.1785,1,[V3:breakout_ready] READY (BULLISH),2.646132,2.619425,
DODO,2,2025-05-10,2025-05-11,1,0.0597,0.0598,0.04579286,23.3,0.00463571,bullish,direction_flip,0.1675,-0.0325,False,False,bullish,True,0.039,0.061,1,True,bullish,True,0.044,0.0535,1,True,bullish,True,0.0532,0.055,1,[V3:breakout_ready] READY (BULLISH),0.981821,0.981502,
DUSK,8,2025-05-10,2025-05-27,17,0.1019,0.0823,0.08310714,18.44,0.00626429,bullish,direction_flip,-19.2345,-19.4345,False,True,bullish,True,0.055,0.095,1,True,bullish,True,0.074,0.08,1,True,bullish,True,0.0902,0.0932,1,[V3:balance_aligned] READY (BULLISH),0.462883,0.372924,
GAS,3,2025-05-10,2025-05-11,1,3.603,3.759,3.03042857,15.89,0.19085714,bullish,direction_flip,4.3297,4.1297,True,False,bullish,True,1.8,4.2,1,True,bullish,True,3.03,3.35,1,True,bullish,True,3.34,3.51,1,[V3:breakout_ready] READY (BULLISH),2.462473,2.564167,
