symbol,trade_id,entry_time,exit_time,duration_days,entry_price,exit_price,stop_loss,sl_distance_pct,atr_at_entry,direction,exit_reason,gross_return_pct,net_return_pct,is_win,m_ready,m_direction,m_compressed,m_mba_low,m_mba_high,m_continuity,w_ready,w_direction,w_compressed,w_mba_low,w_mba_high,w_continuity,d_ready,d_direction,d_compressed,d_mba_low,d_mba_high,d_continuity,alignment_summary,equity_before,equity_after,btc_regime
SPELL,5,2024-12-04,2024-12-19,15,0.0011346,0.00078654,0.00078654,30.68,0.00011602,bullish,stop_loss,-30.6773,-30.8773,False,False,bullish,True,0.00047,0.00115,1,True,bullish,True,0.0008,0.00095,1,True,bullish,True,0.00098,0.00105,1,[V3:breakout_ready] READY (BULLISH),0.807522,0.558182,neutral
UMA,2,2024-12-04,2024-12-09,5,3.975,3.0195,3.0195,24.04,0.3185,bullish,stop_loss,-24.0377,-24.2377,False,False,bullish,True,2.0,3.4,2,True,bullish,True,2.83,3.18,1,True,bullish,True,3.55,3.7,1,[V3:breakout_ready] READY (BULLISH),1.210728,0.917275,neutral
VTHO,3,2024-12-04,2024-12-19,15,0.004075,0.00265386,0.00265386,34.87,0.00047371,bullish,stop_loss,-34.8747,-35.0747,False,False,bullish,True,0.0013,0.0036,1,True,bullish,True,0.00248,0.00328,1,True,bullish,True,0.0038,0.00435,1,[V3:breakout_ready] READY (BULLISH),2.464185,1.59988,neutral
HOOK,2,2024-12-06,2024-12-09,3,0.6802,0.47210714,0.47210714,30.59,0.06936429,bullish,stop_loss,-30.5929,-30.7929,False,False,bullish,True,0.32,0.66,1,True,bullish,True,0.48,0.59,1,True,bullish,True,0.625,0.7,2,[V3:breakout_ready] READY (BULLISH),1.058216,0.73236,neutral
AMP,8,2024-12-14,2025-01-28,45,0.010005,0.007155,0.0038565,61.45,0.0020495,bullish,direction_flip,-28.4858,-28.6858,False,False,bullish,True,0.0035,0.0095,1,True,bullish,True,0.0088,0.012,1,True,bullish,True,0.0093,0.0101,1,[V3:breakout_ready] READY (BULLISH),1.54444,1.101405,neutral
STRAX,5,2024-12-21,2025-02-03,44,0.08987,0.05626786,0.05626786,37.39,0.01120071,bullish,stop_loss,-37.3897,-37.5897,False,True,bullish,True,0.04,0.08,1,True,bullish,True,0.058,0.077,1,True,bullish,True,0.057,0.085,1,[V3:balance_aligned] READY (BULLISH),1.335475,0.833474,neutral
ACM,5,2025-01-02,2025-01-03,1,1.577,1.615,1.28835714,18.3,0.09621429,bullish,direction_flip,2.4096,2.2096,True,False,bullish,True,1.38,2.2,1,True,bullish,True,1.5,1.685,2,True,bullish,True,1.48,1.505,1,[V3:breakout_ready] READY (BULLISH),0.838074,0.856593,bullish
EGLD,2,2025-01-02,2025-01-03,1,35.84,38.02,26.42,26.28,3.14,bullish,direction_flip,6.0826,5.8826,True,False,bullish,True,30,58,1,True,bullish,True,32.2,39.5,2,True,bullish,True,33.3,34.8,1,[V3:breakout_ready] READY (BULLISH),0.663198,0.702211,bullish
ORDI,2,2025-01-02,2025-01-03,1,28.08,29.16,21.49928571,23.44,2.19357143,bullish,direction_flip,3.8462,3.6462,True,False,bullish,True,23,53,1,True,bullish,True,25.1,28.6,1,True,bullish,True,26.3,27.6,1,[V3:breakout_ready] READY (BULLISH),0.587312,0.608726,bullish
RAY,2,2025-01-04,2025-01-13,9,5.607,4.17192857,4.17192857,25.59,0.47835714,bullish,stop_loss,-25.5943,-25.7943,False,True,bullish,True,4.3,5.4,1,True,bullish,True,4.85,5.35,2,True,bullish,True,5.33,5.48,1,[V3:balance_aligned] READY (BULLISH),0.795724,0.590472,bullish
SSV,2,2025-01-04,2025-01-13,9,25.96,19.34071429,19.34071429,25.5,2.20642857,bullish,stop_loss,-25.498,-25.698,False,False,bullish,True,18.5,36.0,1,True,bullish,True,24.8,26.3,1,True,bullish,True,24.5,26.2,1,[V3:breakout_ready] READY (BULLISH),1.172615,0.871276,bullish
STEEM,1,2025-01-09,2025-04-29,110,0.2914,0.1496,0.09348571,67.92,0.06597143,bullish,direction_flip,-48.6616,-48.8616,False,False,bullish,True,0.17,0.38,1,True,bullish,True,0.245,0.3,1,True,bullish,True,0.275,0.36,1,[V3:breakout_ready] READY (BULLISH),1.0,0.511384,bullish
SXP,5,2025-01-09,2025-01-10,1,0.3564,0.3432,0.24469286,31.34,0.03723571,bullish,direction_flip,-3.7037,-3.9037,False,False,bullish,True,0.26,0.48,2,True,bullish,True,0.3,0.355,1,True,bullish,True,0.323,0.34,1,[V3:breakout_ready] READY (BULLISH),1.36058,1.307467,bullish
ZRX,4,2025-01-09,2025-01-10,1,0.5042,0.5087,0.3836,23.92,0.0402,bullish,direction_flip,0.8925,0.6925,True,False,bullish,True,0.4,0.9,1,True,bullish,True,0.445,0.5,1,True,bullish,True,0.455,0.51,1,[V3:breakout_ready] READY (BULLISH),0.799176,0.80471,bullish
ONG,8,2025-01-11,2025-01-12,1,0.3713,0.3658,0.28352857,23.64,0.02925714,bullish,direction_flip,-1.4813,-1.6813,False,False,bullish,True,0.27,0.55,2,True,bullish,True,0.34,0.383,1,True,bullish,True,0.352,0.378,2,[V3:breakout_ready] READY (BULLISH),0.898765,0.883654,bullish
ZRX,5,2025-01-11,2025-01-12,1,0.5009,0.4892,0.37897143,24.34,0.04064286,bullish,direction_flip,-2.3358,-2.5358,False,False,bullish,True,0.4,0.9,1,True,bullish,True,0.455,0.56,1,True,bullish,True,0.482,0.505,1,[V3:breakout_ready] READY (BULLISH),0.80471,0.784304,bullish
GLM,2,2025-01-16,2025-01-17,1,0.3907,0.4027,0.29112143,25.49,0.03319286,bullish,direction_flip,3.0714,2.8714,True,False,bullish,True,0.31,0.55,1,True,bullish,True,0.385,0.42,1,True,bullish,True,0.37,0.398,1,[V3:breakout_ready] READY (BULLISH),0.959826,0.987386,bullish
ZRX,6,2025-01-16,2025-01-17,1,0.5078,0.5484,0.37781429,25.6,0.04332857,bullish,direction_flip,7.9953,7.7953,True,False,bullish,True,0.4,0.9,1,True,bullish,True,0.455,0.56,1,True,bullish,True,0.478,0.503,1,[V3:breakout_ready] READY (BULLISH),0.784304,0.845443,bullish
HIGH,5,2025-02-12,2025-02-13,1,0.978,0.989,0.60385714,38.26,0.12471429,bullish,direction_flip,1.1247,0.9247,True,False,bullish,True,0.95,1.62,1,True,bullish,True,0.73,1.23,1,True,bullish,True,0.9,0.95,1,[V3:breakout_ready] READY (BULLISH),0.853591,0.861485,bullish
HIGH,6,2025-02-22,2025-02-23,1,0.984,0.98,0.77292857,21.45,0.07035714,bullish,direction_flip,-0.4065,-0.6065,False,False,bullish,True,0.95,1.62,1,True,bullish,True,0.875,1.06,2,True,bullish,True,0.925,0.985,1,[V3:breakout_ready] READY (BULLISH),0.861485,0.85626,bullish
AI,5,2025-04-29,2025-04-30,1,0.1807,0.1821,0.13597857,24.75,0.01490714,bullish,direction_flip,0.7748,0.5748,True,False,bullish,True,0.105,0.205,1,True,bullish,True,0.13,0.193,1,True,bullish,True,0.1645,0.1795,2,[V3:breakout_ready] READY (BULLISH),0.705218,0.709271,neutral
HIVE,7,2025-04-29,2025-04-30,1,0.2557,0.2521,0.21295,16.72,0.01425,bullish,direction_flip,-1.4079,-1.6079,False,False,bullish,True,0.18,0.3,2,True,bullish,True,0.239,0.25,1,True,bullish,True,0.2445,0.259,1,[V3:breakout_ready] READY (BULLISH),1.818886,1.789641,neutral
JASMY,3,2025-04-29,2025-05-27,28,0.01656,0.01759,0.01158214,30.06,0.00165929,bullish,direction_flip,6.2198,6.0198,True,False,bullish,True,0.008,0.019,1,True,bullish,True,0.012,0.0192,2,True,bullish,True,0.0159,0.0176,1,[V3:breakout_ready] READY (BULLISH),0.794057,0.841858,neutral
LDO,6,2025-05-01,2025-06-21,51,0.858,0.70028571,0.70028571,18.38,0.05257143,bullish,stop_loss,-18.3816,-18.5816,False,False,bullish,True,0.61,0.9,1,True,bullish,True,0.72,0.85,1,True,bullish,True,0.79,0.85,1,[V3:breakout_ready] READY (BULLISH),0.812899,0.66185,neutral
HIVE,8,2025-05-03,2025-05-04,1,0.2609,0.243,0.21532143,17.47,0.01519286,bullish,direction_flip,-6.8609,-7.0609,False,False,bullish,True,0.18,0.3,2,True,bullish,True,0.247,0.263,1,True,bullish,True,0.249,0.2553,2,[V3:breakout_ready] READY (BULLISH),1.789641,1.663276,neutral
ADX,5,2025-05-04,2025-06-21,48,0.0972,0.07872857,0.07872857,19.0,0.00615714,bullish,stop_loss,-19.0035,-19.2035,False,False,bullish,True,0.072,0.115,1,True,bullish,True,0.096,0.101,2,True,bullish,True,0.0965,0.098,1,[V3:breakout_ready] READY (BULLISH),0.837276,0.676489,neutral
CVX,5,2025-05-07,2025-05-27,20,3.076,3.328,2.30435714,25.09,0.25721429,bullish,direction_flip,8.1925,7.9925,True,True,bullish,True,1.5,3.35,1,True,bullish,True,2.55,3.35,1,True,bullish,True,2.75,2.98,1,[V3:balance_aligned] READY (BULLISH),1.264433,1.365493,neutral
DASH,4,2025-05-08,2025-06-20,43,23.2,19.04071429,19.04071429,17.93,1.38642857,bullish,stop_loss,-17.928,-18.128,False,True,bullish,True,17.8,25.0,1,True,bullish,True,22.2,24.0,1,True,bullish,True,20.65,21.7,1,[V3:balance_aligned] READY (BULLISH),0.956717,0.783283,neutral
HIVE,9,2025-05-08,2025-05-09,1,0.252,0.2632,0.20267143,19.57,0.01644286,bullish,direction_flip,4.4444,4.2444,True,False,bullish,True,0.18,0.3,2,True,bullish,True,0.247,0.263,1,True,bullish,True,0.2305,0.2395,2,[V3:breakout_ready] READY (BULLISH),1.663276,1.733873,neutral
DODO,2,2025-05-10,2025-05-11,1,0.0597,0.0598,0.04579286,23.3,0.00463571,bullish,direction_flip,0.1675,-0.0325,False,False,bullish,True,0.039,0.061,1,True,bullish,True,0.044,0.0535,1,True,bullish,True,0.0532,0.055,1,[V3:breakout_ready] READY (BULLISH),0.788172,0.787916,neutral
DUSK,6,2025-05-10,2025-05-19,9,0.1019,0.08310714,0.08310714,18.44,0.00626429,bullish,stop_loss,-18.4425,-18.6425,False,True,bullish,True,0.055,0.095,1,True,bullish,True,0.074,0.08,1,True,bullish,True,0.0902,0.0932,1,[V3:balance_aligned] READY (BULLISH),0.713746,0.580686,neutral
GAS,3,2025-05-10,2025-05-11,1,3.603,3.759,3.03042857,15.89,0.19085714,bullish,direction_flip,4.3297,4.1297,True,False,bullish,True,1.8,4.2,1,True,bullish,True,3.03,3.35,1,True,bullish,True,3.34,3.51,1,[V3:breakout_ready] READY (BULLISH),1.976042,2.057647,neutral
OGN,8,2025-05-10,2025-05-11,1,0.0719,0.0702,0.06039286,16.0,0.00383571,bullish,direction_flip,-2.3644,-2.5644,False,False,bullish,True,0.045,0.074,1,True,bullish,True,0.055,0.067,1,True,bullish,True,0.063,0.0678,1,[V3:breakout_ready] READY (BULLISH),0.733695,0.71488,neutral
STORJ,6,2025-05-10,2025-05-11,1,0.3397,0.3342,0.28066429,17.38,0.01967857,bullish,direction_flip,-1.6191,-1.8191,False,False,bullish,True,0.21,0.345,2,True,bullish,True,0.273,0.307,1,True,bullish,True,0.307,0.326,1,[V3:breakout_ready] READY (BULLISH),0.49244,0.483482,neutral
T,2,2025-05-10,2025-05-30,20,0.01952,0.01630786,0.01630786,16.46,0.00107071,bullish,stop_loss,-16.4556,-16.6556,False,False,bullish,True,0.0115,0.025,2,True,bullish,True,0.0165,0.0181,1,True,bullish,True,0.01805,0.01905,1,[V3:breakout_ready] READY (BULLISH),0.987089,0.822683,neutral
UMA,3,2025-05-10,2025-05-11,1,1.372,1.352,1.14078571,16.85,0.07707143,bullish,direction_flip,-1.4577,-1.6577,False,False,bullish,True,0.89,1.26,1,True,bullish,True,1.1,1.27,1,True,bullish,True,1.265,1.345,1,[V3:breakout_ready] READY (BULLISH),0.917275,0.902069,neutral
DODO,3,2025-05-12,2025-05-13,1,0.0592,0.0609,0.04454286,24.76,0.00488571,bullish,direction_flip,2.8716,2.6716,True,False,bullish,True,0.039,0.061,1,True,bullish,True,0.044,0.0535,1,True,bullish,True,0.0532,0.055,1,[V3:breakout_ready] READY (BULLISH),0.787916,0.808966,neutral
GAS,4,2025-05-12,2025-05-13,1,3.728,3.722,3.03885714,18.49,0.22971429,bullish,direction_flip,-0.1609,-0.3609,False,False,bullish,True,1.8,4.2,1,True,bullish,True,3.03,3.35,1,True,bullish,True,3.34,3.51,1,[V3:breakout_ready] READY (BULLISH),2.057647,2.05022,neutral
OGN,9,2025-05-12,2025-05-13,1,0.0711,0.0741,0.05845714,17.78,0.00421429,bullish,direction_flip,4.2194,4.0194,True,False,bullish,True,0.045,0.074,1,True,bullish,True,0.055,0.067,1,True,bullish,True,0.063,0.0678,1,[V3:breakout_ready] READY (BULLISH),0.71488,0.743614,neutral
STORJ,7,2025-05-12,2025-05-13,1,0.3356,0.3443,0.27602857,17.75,0.01985714,bullish,direction_flip,2.5924,2.3924,True,False,bullish,True,0.21,0.345,2,True,bullish,True,0.273,0.307,1,True,bullish,True,0.307,0.326,1,[V3:breakout_ready] READY (BULLISH),0.483482,0.495049,neutral
UMA,4,2025-05-12,2025-05-13,1,1.343,1.388,1.091,18.76,0.084,bullish,direction_flip,3.3507,3.1507,True,False,bullish,True,0.89,1.26,1,True,bullish,True,1.1,1.27,1,True,bullish,True,1.265,1.345,1,[V3:breakout_ready] READY (BULLISH),0.902069,0.930491,neutral
ADA,7,2025-05-13,2025-05-31,18,0.8299,0.66734286,0.66734286,19.59,0.05418571,bullish,stop_loss,-19.5876,-19.7876,False,True,bullish,True,0.51,0.75,1,True,bullish,True,0.66,0.78,1,True,bullish,True,0.78,0.865,1,[V3:balance_aligned] READY (BULLISH),5.792072,4.645963,neutral
CELO,6,2025-05-13,2025-05-27,14,0.4532,0.3755,0.35381429,21.93,0.03312857,bullish,direction_flip,-17.1447,-17.3447,False,False,bullish,True,0.245,0.415,1,True,bullish,True,0.32,0.365,1,True,bullish,True,0.427,0.453,1,[V3:breakout_ready] READY (BULLISH),0.667533,0.551751,neutral
HIVE,10,2025-05-13,2025-05-14,1,0.2772,0.27,0.22557857,18.62,0.01720714,bullish,direction_flip,-2.5974,-2.7974,False,False,bullish,True,0.18,0.3,2,True,bullish,True,0.235,0.255,1,True,bullish,True,0.262,0.272,1,[V3:breakout_ready] READY (BULLISH),1.733873,1.68537,neutral
QKC,2,2025-05-13,2025-05-14,1,0.008293,0.008081,0.00698029,15.83,0.00043757,bullish,direction_flip,-2.5564,-2.7564,False,False,bullish,True,0.0053,0.0097,1,True,bullish,True,0.0072,0.0078,1,True,bullish,True,0.00792,0.00843,1,[V3:breakout_ready] READY (BULLISH),1.110039,1.079443,neutral
RLC,3,2025-05-13,2025-05-14,1,1.405,1.323,1.14571429,18.45,0.08642857,bullish,direction_flip,-5.8363,-6.0363,False,False,bullish,True,0.96,1.3,2,True,bullish,True,1.06,1.14,1,True,bullish,True,1.275,1.415,1,[V3:breakout_ready] READY (BULLISH),3.058376,2.873763,neutral
STEEM,2,2025-05-13,2025-05-14,1,0.1628,0.1574,0.13794286,15.27,0.00828571,bullish,direction_flip,-3.317,-3.517,False,False,bullish,True,0.1,0.175,1,True,bullish,True,0.138,0.149,1,True,bullish,True,0.1545,0.1645,1,[V3:breakout_ready] READY (BULLISH),0.511384,0.493399,neutral
THETA,6,2025-05-13,2025-05-17,4,1.053,0.83871429,0.83871429,20.35,0.07142857,bullish,stop_loss,-20.35,-20.55,False,True,bullish,True,0.6,0.81,1,True,bullish,True,0.68,0.85,1,True,bullish,True,0.96,1.075,1,[V3:balance_aligned] READY (BULLISH),0.626482,0.49774,neutral
XEC,5,2025-05-13,2025-05-30,17,2.522e-05,2.076e-05,2.076e-05,17.69,1.49e-06,bullish,stop_loss,-17.69,-17.89,False,False,bullish,True,1.6e-05,2.6e-05,1,True,bullish,True,2.1e-05,2.27e-05,1,True,bullish,True,2.46e-05,2.54e-05,1,[V3:breakout_ready] READY (BULLISH),1.457711,1.196926,neutral
AMP,9,2025-05-15,2025-06-13,29,0.004652,0.00349464,0.00349464,24.88,0.00038579,bullish,stop_loss,-24.8787,-25.0787,False,False,bullish,True,0.003,0.00485,1,True,bullish,True,0.0035,0.00485,1,True,bullish,True,0.0045,0.00535,1,[V3:breakout_ready] READY (BULLISH),1.101405,0.825187,neutral
MBL,5,2025-05-16,2025-05-17,1,0.002382,0.002358,0.00203207,14.69,0.00011664,bullish,direction_flip,-1.0076,-1.2076,False,False,bullish,True,0.0019,0.00295,1,True,bullish,True,0.00228,0.00248,1,True,bullish,True,0.00232,0.00251,1,[V3:breakout_ready] READY (BULLISH),0.371072,0.366591,neutral
OXT,8,2025-05-16,2025-05-17,1,0.0666,0.0644,0.05273571,20.82,0.00462143,bullish,direction_flip,-3.3033,-3.5033,False,False,bullish,True,0.052,0.082,2,True,bullish,True,0.0645,0.07,1,True,bullish,True,0.0658,0.072,1,[V3:breakout_ready] READY (BULLISH),0.647382,0.624702,neutral
QTUM,8,2025-05-16,2025-05-17,1,2.364,2.29,1.85014286,21.74,0.17128571,bullish,direction_flip,-3.1303,-3.3303,False,False,bullish,True,1.58,2.38,2,True,bullish,True,2.05,2.43,1,True,bullish,True,2.28,2.53,1,[V3:breakout_ready] READY (BULLISH),0.265795,0.256944,neutral
SXP,6,2025-05-16,2025-05-27,11,0.2042,0.1946,0.15437857,24.4,0.01660714,bullish,direction_flip,-4.7013,-4.9013,False,True,bullish,True,0.14,0.27,2,True,bullish,True,0.185,0.212,1,True,bullish,True,0.204,0.224,1,[V3:balance_aligned] READY (BULLISH),1.307467,1.243385,neutral
NEXO,2,2025-05-22,2025-05-27,5,1.293,1.265,1.13614286,12.13,0.05228571,bullish,direction_flip,-2.1655,-2.3655,False,False,bullish,True,0.83,1.35,1,True,bullish,True,1.2,1.335,1,True,bullish,True,1.24,1.32,1,[V3:breakout_ready] READY (BULLISH),0.825871,0.806335,neutral
POND,3,2025-05-27,2025-06-17,21,0.01071,0.008205,0.008205,23.39,0.000835,bullish,stop_loss,-23.3894,-23.5894,False,True,bullish,True,0.0087,0.012,1,True,bullish,True,0.0091,0.012,1,True,bullish,True,0.0101,0.012,1,[V3:balance_aligned] READY (BULLISH),0.865866,0.661614,bullish
AUCTION,5,2025-05-28,2025-05-29,1,11.81,11.74,9.73571429,17.56,0.69142857,bullish,direction_flip,-0.5927,-0.7927,False,False,bullish,True,9.8,15.2,2,True,bullish,True,11.2,12.7,1,True,bullish,True,11.5,12.1,1,[V3:breakout_ready] READY (BULLISH),2.054539,2.038252,bullish
CAKE,1,2025-06-03,2025-10-10,129,2.376,1.77321429,1.77321429,25.37,0.20092857,bullish,stop_loss,-25.3698,-25.5698,False,True,bullish,True,1.9,2.95,1,True,bullish,True,2.27,2.73,1,True,bullish,True,2.325,2.39,1,[V3:balance_aligned] READY (BULLISH),1.0,0.744302,bullish
ASR,7,2025-06-25,2025-09-22,89,2.526,2.08628571,2.08628571,17.41,0.14657143,bullish,stop_loss,-17.4075,-17.6075,False,False,bullish,True,1.3,2.3,1,True,bullish,True,1.84,2.13,1,True,bullish,True,2.28,2.55,1,[V3:breakout_ready] READY (BULLISH),0.338143,0.278605,bullish
PYR,7,2025-06-28,2025-06-29,1,0.913,0.931,0.69078571,24.34,0.07407143,bullish,direction_flip,1.9715,1.7715,True,False,bullish,True,0.88,1.35,1,True,bullish,True,0.78,0.935,1,True,bullish,True,0.835,0.883,1,[V3:breakout_ready] READY (BULLISH),0.854934,0.870079,bullish
PYR,8,2025-06-30,2025-07-01,1,0.906,0.882,0.68314286,24.6,0.07428571,bullish,direction_flip,-2.649,-2.849,False,False,bullish,True,0.88,1.35,1,True,bullish,True,0.78,0.935,1,True,bullish,True,0.835,0.883,1,[V3:breakout_ready] READY (BULLISH),0.870079,0.845291,bullish
